Tag,1838.7.12,
ARC,829403,
AUS,8565910,
BRZ,1750151,
CHI,26795729,
COM,772038,
ENG,7518702,
FRA,9103245,
GON,675741,
JAP,7265039,
MEX,1806753,
NET,4668617,
PER,1811664,
PRU,4042929,
RUS,16795242,
SAR,1436698,
SCA,1910695,
SIA,1308950,
SPC,4228205,
TUR,5669384,
USA,4433991,
