Tag,1854.12.24,
BRZ,1237239,
CHI,312210,
ENG,5256847,
FRA,8382747,
IBR,3164973,
INC,3877548,
JAP,8358761,
KUK,4916373,
LPL,1814185,
MEX,2214765,
NET,2249219,
NGF,6394712,
PER,2646448,
RUS,13334581,
SCA,2334131,
SIC,3299068,
TUR,4696833,
USA,5288572,
