Tag,1854.12.24,
BRZ,2241766,
CHI,29391482,
ENG,7511995,
FRA,10339757,
IBR,6040415,
INC,4380674,
JAP,12817375,
KUK,11583359,
LPL,1873493,
MEX,3739724,
NET,7378534,
NGF,7866991,
PER,4290760,
RUS,18379005,
SCA,4935574,
SIC,3316437,
TUR,10496277,
USA,7498083,
