Tag,1844.2.1,1853.9.4,1862.9.3,1867.11.17,1885.6.13,1903.10.24,1915.9.2,
AMA,685797,971390,1061951,0,0,0,0,
ARA,3091196,0,0,0,0,0,0,
ARC,0,0,5938144,7008621,10538542,17038067,23164966,
ARI,0,3933699,3458222,3574030,8980477,10236450,10280803,
AZL,0,0,0,3218020,4780837,9605196,14189698,
BRG,4186651,4176200,4472253,4282627,7358971,8316630,9990721,
BTV,0,0,415700,451101,697700,1603098,2006521,
CLM,796254,2275044,2393188,2667303,0,0,0,
DNG,780458,999595,1177484,1245994,1444636,1653770,1353734,
DUA,4480551,4906685,5167554,13289459,20546161,23010540,25344680,
ETH,2030147,2082037,2099771,2090787,2231211,2629073,2749918,
HUN,2029047,2209832,2340756,2371711,3190581,5017088,5334103,
INC,1588929,1276204,1037325,1093240,4003121,2767455,2503604,
JAP,7369153,7895967,8445617,9119618,11365389,13024443,15363831,
LOT,603641,640875,926823,0,0,0,0,
LWE,103480,110902,0,0,0,0,0,
MUS,5266895,4395350,6490150,5899410,7099877,4505861,4806316,
PLA,843825,1501088,0,0,0,0,0,
PLC,2600815,2722961,2711354,3616132,8220120,9675403,11212902,
SCA,2752803,2507792,2643331,3629393,3478596,4283357,5020483,
SGF,3590304,3774853,3607547,4074589,0,0,0,
SPA,3160091,3430182,5137473,5273095,6694441,7155032,8049544,
TUR,3092041,4109443,5965471,6197749,7669433,9780937,11359317,
VEN,1064896,159220,136362,0,0,0,0,
VIN,803621,917508,0,0,0,0,0,
