Tag,1844.2.1,1853.9.4,1862.9.3,1915.9.2,1885.6.13,1867.11.17,1903.10.24,
DNB,0,0,0,0,0,0,0,
DND,0,0,0,0,0,0,0,
DNG,804435,1058967,1329806,1364793,1585446,1394037,1769234,
DOM,0,0,0,0,0,0,0,
DON,0,0,0,0,0,0,0,
DRA,0,0,0,0,0,0,0,
DUA,17028009,19228505,20715016,39992641,31283518,19853405,35895343,
DUR,0,0,0,0,0,0,0,
DZG,0,0,0,0,0,0,0,
ECU,0,0,0,0,0,0,0,
EGY,0,0,0,0,0,0,0,
EIC,0,0,0,0,0,0,0,
ELS,0,0,0,0,0,0,0,
ENG,0,0,0,0,0,0,0,
ENL,0,0,0,0,0,0,0,
ENT,0,0,0,0,0,0,0,
EQG,0,0,0,0,0,0,0,
EQN,0,0,0,0,0,0,0,
ERI,0,0,0,0,0,0,0,
EST,0,0,0,0,0,0,0,
ETH,3142172,3167391,3153382,5906451,5263594,4384907,5735561,
EZO,0,0,0,0,0,0,0,
FDL,0,0,0,0,0,0,0,
FIJ,0,0,0,0,0,0,0,
FIN,0,0,0,0,0,0,0,
FIU,0,0,0,0,0,0,0,
FJA,673974,674229,692678,0,0,714768,0,
FJN,0,0,0,0,0,0,0,
FLA,0,0,0,0,0,0,0,
FRA,0,0,0,0,0,0,0,
FRI,0,0,0,0,0,0,0,
FRM,0,0,0,0,0,0,0,
FRO,0,0,0,0,0,0,0,
FRR,218302,0,0,0,0,0,0,
FRT,0,0,0,0,0,0,0,
FSA,0,0,0,0,0,0,0,
FUN,139977,0,0,0,0,0,0,
GAB,0,0,0,0,0,0,0,
GAL,0,0,0,0,0,0,0,
GAN,379171,405702,421814,1532562,846598,453082,562232,
GAZ,0,0,0,0,0,0,0,
GBU,0,0,0,0,0,0,0,
GCO,0,0,0,0,0,0,0,
GEL,0,0,0,0,0,0,0,
GEN,138762,139745,0,0,0,0,0,
GEO,0,0,0,0,0,0,0,
GER,0,0,0,0,0,0,0,
GLC,0,0,0,0,0,0,0,
GLM,0,0,0,0,0,0,0,
GMB,0,0,0,0,0,0,0,
GMJ,0,0,0,0,0,0,0,
GNE,0,0,0,0,0,0,0,
GNG,0,0,0,0,0,0,0,
GNV,0,0,0,0,0,0,0,
GON,0,0,0,0,0,0,0,
GRA,0,0,0,0,0,0,0,
GRE,0,0,0,0,0,0,0,
GRN,0,0,0,0,0,0,0,
GRQ,139742,138263,137268,0,158177,139879,187352,
GUA,0,0,0,0,0,0,0,
GUY,0,0,0,0,0,0,0,
GWA,0,0,0,0,0,0,0,
GXI,0,0,0,0,0,0,0,
HAI,0,0,0,0,0,0,0,
HAL,0,0,0,0,0,0,0,
HAM,0,0,0,0,0,0,0,
HAN,0,0,0,0,0,0,0,
HAR,0,0,0,0,0,0,0,
HAW,24356,0,0,0,0,0,0,
HBE,0,0,0,0,0,0,0,
HBY,0,0,0,0,0,0,0,
HDJ,0,0,0,0,0,0,0,
HEK,0,0,0,0,0,0,0,
HES,0,0,0,0,108334,0,0,
HHR,30700,0,0,0,0,0,0,
HLR,7199407,6721087,7031469,15294370,13660423,7778794,15386639,
HND,0,0,0,0,0,0,0,
HNN,0,0,0,0,0,0,0,
HOL,0,0,0,0,0,0,0,
HON,0,0,0,0,0,0,0,
HTY,0,0,0,0,0,0,0,
HUI,0,0,0,0,0,0,0,
HUN,3999150,3903649,5555723,7072714,5901441,4374694,6717588,
HYD,0,0,0,0,0,0,0,
IBR,0,0,0,0,0,0,0,
ICL,0,0,0,0,0,0,0,
ILO,0,0,0,0,0,0,0,
INC,1640680,1311489,1105652,2549240,4796566,1148926,2809846,
IND,0,0,0,0,0,0,0,
INO,0,0,0,0,0,0,0,
ION,0,0,0,0,0,0,0,
IRE,0,0,0,0,0,0,0,
IRO,0,0,0,0,0,0,0,
IRQ,1179354,183982,0,0,0,0,0,
ISR,0,0,0,0,0,0,0,
ITA,0,0,0,0,0,0,0,
IVC,0,0,0,0,0,0,0,
IZH,0,0,0,0,0,0,0,
JAI,397903,0,0,0,0,0,0,
JAL,0,0,0,0,0,0,0,
JAM,0,0,121663,0,0,0,0,
JAP,18230022,29673127,32270636,36765336,45154669,34019127,31408390,
JAS,106299,0,0,0,0,0,0,
JAV,0,0,0,0,0,0,0,
JLS,0,0,0,0,0,0,0,
JOD,0,0,0,0,0,0,0,
JOH,185181,166931,158223,0,0,155386,0,
JOR,0,0,0,0,0,0,0,
KAF,0,0,0,0,0,0,0,
KAG,0,0,0,0,0,0,0,
KAL,0,0,0,0,0,0,0,
KAM,0,0,0,0,0,0,0,
KAN,1367065,349640,0,0,0,0,0,
KAR,0,0,0,0,0,0,0,
KAS,290874,0,0,0,0,0,0,
KAZ,0,0,0,0,0,0,0,
KBO,0,0,0,0,0,0,0,
KCH,0,0,0,0,0,0,0,
KDS,0,0,0,0,0,0,0,
KHI,0,0,0,0,0,0,0,
KKN,24213,24775,0,0,0,0,0,
KLM,80411,73625,69607,0,0,68357,0,
KMK,0,0,0,0,0,0,0,
KML,0,0,0,0,0,0,0,
KMT,0,0,0,0,0,0,0,
KNG,0,0,0,0,0,0,0,
KNO,1798722,2851626,2979948,0,0,2924009,0,
KNY,0,0,0,0,0,0,0,
KOK,0,187910,185225,0,177059,178940,0,
KON,898584,834890,812134,0,0,830459,0,
KOR,0,0,0,0,0,0,0,
KRA,0,0,0,0,0,0,0,
KRL,166904,174218,0,0,0,0,0,
KRN,0,0,0,0,0,0,0,
KTH,0,0,0,0,0,0,0,
KTI,51998,49184,47654,0,0,0,0,
KUB,878923,878539,886910,0,0,894178,0,
KUK,0,0,0,0,0,0,0,
KUR,0,0,0,0,0,0,0,
KUT,0,0,0,0,0,0,0,
KWT,0,0,0,0,0,0,0,
KYR,0,0,0,0,0,0,0,
KZB,810792,819358,822980,0,0,827887,0,
KZH,0,200548,197825,0,0,0,0,
LAD,0,0,0,0,0,0,0,
LAN,0,0,0,0,0,0,0,
LAT,0,0,0,0,0,0,0,
LBA,0,0,0,0,0,0,0,
LBG,0,0,0,0,0,0,0,
LBN,0,0,0,0,0,0,0,
LBY,0,0,0,0,0,0,0,
LFG,106497,107183,108291,0,115008,108532,120646,
LHJ,0,0,0,0,0,0,0,
LIB,0,0,0,0,0,0,0,
LIP,0,0,0,0,0,0,0,
LIT,649430,632230,0,0,0,0,0,
LOA,222840,227429,232182,0,0,237005,0,
LOM,0,0,0,0,0,0,0,
LOR,0,0,0,0,0,0,0,
LOS,0,0,0,0,0,0,0,
LOT,1002115,1225765,1671244,0,0,0,0,
LPL,0,0,0,0,0,0,0,
LRR,0,0,0,0,0,0,0,
LSK,0,0,0,0,0,0,0,
LST,0,0,0,0,0,0,0,
LUA,0,0,0,0,0,0,0,
LUB,0,0,0,0,0,0,0,
LUC,36722,0,0,0,0,0,0,
LUN,50424,51856,52506,0,0,53487,0,
LUX,0,0,0,0,0,0,0,
LUZ,0,0,0,0,0,0,0,
LWE,211956,363165,0,0,0,0,0,
LXA,0,0,0,0,0,0,0,
MAC,0,0,0,0,0,0,0,
MAD,492018,486610,487642,0,0,482556,0,
MAH,0,0,0,0,0,0,0,
MAJ,0,0,0,0,0,0,0,
MAK,0,0,0,0,0,0,0,
MAL,1480541,0,0,0,0,0,0,
MAS,0,0,0,0,0,0,0,
MAT,0,0,0,0,0,0,0,
MCD,0,0,0,0,0,0,0,
MCH,0,0,0,0,0,0,0,
MCK,23898182,10304256,0,0,0,0,0,
MDR,0,0,0,0,0,0,0,
MDV,0,0,0,0,0,0,0,
MEC,0,0,0,0,0,0,0,
MEI,0,0,0,0,0,0,0,
MEW,0,0,0,0,0,0,0,
MEX,0,0,0,0,0,0,0,
MGH,0,0,0,0,0,0,0,
MGL,0,816262,0,860875,0,0,0,
MHR,0,0,0,0,0,0,0,
MIG,13103278,0,0,0,0,0,0,
MKN,0,0,0,0,0,0,0,
MKS,145611,130636,114079,0,98848,111415,91724,
MLD,0,0,0,0,0,0,0,
MLI,0,0,0,0,0,0,0,
MLT,0,0,0,0,0,0,0,
MLW,0,0,0,0,0,0,0,
MLY,0,0,0,0,0,0,0,
MNG,544531,527818,533412,0,0,537481,0,
MNP,0,0,0,0,0,0,0,
MNR,0,0,0,0,0,0,0,
MOD,0,0,0,0,0,0,0,
MOL,438265,461882,486520,0,0,508461,0,
MON,82864,0,0,0,0,0,0,
MOR,0,0,0,0,0,0,0,
MOS,0,0,0,0,0,0,0,
MOZ,0,0,0,0,0,0,0,
