Tag,1844.2.1,1853.9.4,1862.9.3,1915.9.2,1885.6.13,1867.11.17,1903.10.24,
DNG,780458,999595,1177484,1353734,1444636,1245994,1653770,
DOM,0,0,0,0,0,0,0,
DON,0,0,0,0,0,0,0,
DRA,0,0,0,0,0,0,0,
DUA,4480551,4906685,5167554,25344680,20546161,13289459,23010540,
DUR,0,0,0,0,0,0,0,
DZG,0,0,0,0,0,0,0,
ECU,0,0,0,0,0,0,0,
EGY,0,0,0,0,0,0,0,
EIC,0,0,0,0,0,0,0,
ELS,0,0,0,0,0,0,0,
ENG,0,0,0,0,0,0,0,
ENL,0,0,0,0,0,0,0,
ENT,0,0,0,0,0,0,0,
EQG,0,0,0,0,0,0,0,
EQN,0,0,0,0,0,0,0,
ERI,0,0,0,0,0,0,0,
EST,0,0,0,0,0,0,0,
ETH,2030147,2082037,2099771,2749918,2231211,2090787,2629073,
EZO,0,0,0,0,0,0,0,
FDL,0,0,0,0,0,0,0,
FIJ,0,0,0,0,0,0,0,
FIN,0,0,0,0,0,0,0,
FIU,0,0,0,0,0,0,0,
FJA,162170,165405,170926,0,0,176460,0,
FJN,0,0,0,0,0,0,0,
FLA,0,0,0,0,0,0,0,
FRA,0,0,0,0,0,0,0,
FRI,0,0,0,0,0,0,0,
FRM,0,0,0,0,0,0,0,
FRO,0,0,0,0,0,0,0,
FRR,218302,0,0,0,0,0,0,
FRT,0,0,0,0,0,0,0,
FSA,0,0,0,0,0,0,0,
FUN,72398,0,0,0,0,0,0,
GAB,0,0,0,0,0,0,0,
GAL,0,0,0,0,0,0,0,
GAN,325722,344168,358516,1420666,757917,388542,497395,
GAZ,0,0,0,0,0,0,0,
GBU,0,0,0,0,0,0,0,
GCO,0,0,0,0,0,0,0,
GEL,0,0,0,0,0,0,0,
GEN,126,40,0,0,0,0,0,
GEO,0,0,0,0,0,0,0,
GER,0,0,0,0,0,0,0,
GLC,0,0,0,0,0,0,0,
GLM,0,0,0,0,0,0,0,
GMB,0,0,0,0,0,0,0,
GMJ,0,0,0,0,0,0,0,
GNE,0,0,0,0,0,0,0,
GNG,0,0,0,0,0,0,0,
GNV,0,0,0,0,0,0,0,
GON,0,0,0,0,0,0,0,
GRA,0,0,0,0,0,0,0,
GRE,0,0,0,0,0,0,0,
GRN,0,0,0,0,0,0,0,
GRQ,116163,115804,115114,0,134339,117647,169933,
GUA,0,0,0,0,0,0,0,
GUY,0,0,0,0,0,0,0,
GWA,0,0,0,0,0,0,0,
GXI,0,0,0,0,0,0,0,
HAI,0,0,0,0,0,0,0,
HAL,0,0,0,0,0,0,0,
HAM,0,0,0,0,0,0,0,
HAN,0,0,0,0,0,0,0,
HAR,0,0,0,0,0,0,0,
HAW,24356,0,0,0,0,0,0,
HBE,0,0,0,0,0,0,0,
HBY,0,0,0,0,0,0,0,
HDJ,0,0,0,0,0,0,0,
HEK,0,0,0,0,0,0,0,
HES,0,0,0,0,102298,0,0,
HHR,30700,0,0,0,0,0,0,
HLR,2577371,2771912,3091920,14997862,13440795,7590202,15088099,
HND,0,0,0,0,0,0,0,
HNN,0,0,0,0,0,0,0,
HOL,0,0,0,0,0,0,0,
HON,0,0,0,0,0,0,0,
HTY,0,0,0,0,0,0,0,
HUI,0,0,0,0,0,0,0,
HUN,2029047,2209832,2340756,5334103,3190581,2371711,5017088,
HYD,0,0,0,0,0,0,0,
IBR,0,0,0,0,0,0,0,
ICL,0,0,0,0,0,0,0,
ILO,0,0,0,0,0,0,0,
INC,1588929,1276204,1037325,2503604,4003121,1093240,2767455,
IND,0,0,0,0,0,0,0,
INO,0,0,0,0,0,0,0,
ION,0,0,0,0,0,0,0,
IRE,0,0,0,0,0,0,0,
IRO,0,0,0,0,0,0,0,
IRQ,690727,105684,0,0,0,0,0,
ISR,0,0,0,0,0,0,0,
ITA,0,0,0,0,0,0,0,
IVC,0,0,0,0,0,0,0,
IZH,0,0,0,0,0,0,0,
JAI,324722,0,0,0,0,0,0,
JAL,0,0,0,0,0,0,0,
JAM,0,0,121517,0,0,0,0,
JAP,7369153,7895967,8445617,15363831,11365389,9119618,13024443,
JAS,98892,0,0,0,0,0,0,
JAV,0,0,0,0,0,0,0,
JLS,0,0,0,0,0,0,0,
JOD,0,0,0,0,0,0,0,
JOH,172827,158411,151903,0,0,150049,0,
JOR,0,0,0,0,0,0,0,
KAF,0,0,0,0,0,0,0,
KAG,0,0,0,0,0,0,0,
KAL,0,0,0,0,0,0,0,
KAM,0,0,0,0,0,0,0,
KAN,717153,128060,0,0,0,0,0,
KAR,0,0,0,0,0,0,0,
KAS,271625,0,0,0,0,0,0,
KAZ,0,0,0,0,0,0,0,
KBO,0,0,0,0,0,0,0,
KCH,0,0,0,0,0,0,0,
KDS,0,0,0,0,0,0,0,
KHI,0,0,0,0,0,0,0,
KKN,10590,24765,0,0,0,0,0,
KLM,80040,73137,69258,0,0,68102,0,
KMK,0,0,0,0,0,0,0,
KML,0,0,0,0,0,0,0,
KMT,0,0,0,0,0,0,0,
KNG,0,0,0,0,0,0,0,
KNO,1247312,1536098,1578307,0,0,1585690,0,
KNY,0,0,0,0,0,0,0,
KOK,0,92175,92189,0,91814,89694,0,
KON,898584,834890,812134,0,0,830459,0,
KOR,0,0,0,0,0,0,0,
KRA,0,0,0,0,0,0,0,
KRL,101101,103965,0,0,0,0,0,
KRN,0,0,0,0,0,0,0,
KTH,0,0,0,0,0,0,0,
KTI,13773,13898,15918,0,0,0,0,
KUB,426383,429680,435162,0,0,438790,0,
KUK,0,0,0,0,0,0,0,
KUR,0,0,0,0,0,0,0,
KUT,0,0,0,0,0,0,0,
KWT,0,0,0,0,0,0,0,
KYR,0,0,0,0,0,0,0,
KZB,467997,464029,463098,0,0,462960,0,
KZH,0,176408,174872,0,0,0,0,
LAD,0,0,0,0,0,0,0,
LAN,0,0,0,0,0,0,0,
LAT,0,0,0,0,0,0,0,
LBA,0,0,0,0,0,0,0,
LBG,0,0,0,0,0,0,0,
LBN,0,0,0,0,0,0,0,
LBY,0,0,0,0,0,0,0,
LFG,14844,16506,17041,0,19292,16682,20475,
LHJ,0,0,0,0,0,0,0,
LIB,0,0,0,0,0,0,0,
LIP,0,0,0,0,0,0,0,
LIT,435899,420475,0,0,0,0,0,
LOA,222840,227429,232182,0,0,237005,0,
LOM,0,0,0,0,0,0,0,
LOR,0,0,0,0,0,0,0,
LOS,0,0,0,0,0,0,0,
LOT,603641,640875,926823,0,0,0,0,
LPL,0,0,0,0,0,0,0,
LRR,0,0,0,0,0,0,0,
LSK,0,0,0,0,0,0,0,
LST,0,0,0,0,0,0,0,
LUA,0,0,0,0,0,0,0,
LUB,0,0,0,0,0,0,0,
LUC,36722,0,0,0,0,0,0,
LUN,25292,25741,25882,0,0,26300,0,
LUX,0,0,0,0,0,0,0,
LUZ,0,0,0,0,0,0,0,
LWE,103480,110902,0,0,0,0,0,
LXA,0,0,0,0,0,0,0,
MAC,0,0,0,0,0,0,0,
MAD,492018,486610,487642,0,0,482556,0,
MAH,0,0,0,0,0,0,0,
MAJ,0,0,0,0,0,0,0,
MAK,0,0,0,0,0,0,0,
MAL,886740,0,0,0,0,0,0,
MAS,0,0,0,0,0,0,0,
MAT,0,0,0,0,0,0,0,
MCD,0,0,0,0,0,0,0,
MCH,0,0,0,0,0,0,0,
MCK,23519998,10200450,0,0,0,0,0,
MDR,0,0,0,0,0,0,0,
MDV,0,0,0,0,0,0,0,
MEC,0,0,0,0,0,0,0,
MEI,0,0,0,0,0,0,0,
MEW,0,0,0,0,0,0,0,
MEX,0,0,0,0,0,0,0,
MGH,0,0,0,0,0,0,0,
MGL,0,599506,0,214008,0,0,0,
MHR,0,0,0,0,0,0,0,
MIG,11973983,0,0,0,0,0,0,
MKN,0,0,0,0,0,0,0,
MKS,145611,130636,114079,0,98848,111415,91724,
MLD,0,0,0,0,0,0,0,
MLI,0,0,0,0,0,0,0,
MLT,0,0,0,0,0,0,0,
MLW,0,0,0,0,0,0,0,
MLY,0,0,0,0,0,0,0,
MNG,486898,464478,465639,0,0,465296,0,
MNP,0,0,0,0,0,0,0,
MNR,0,0,0,0,0,0,0,
MOD,0,0,0,0,0,0,0,
MOL,362033,383821,406201,0,0,425755,0,
MON,65644,0,0,0,0,0,0,
MOR,0,0,0,0,0,0,0,
MOS,0,0,0,0,0,0,0,
MOZ,0,0,0,0,0,0,0,
MRU,0,0,0,0,0,0,0,
MTC,0,0,0,0,0,0,0,
MUG,6835862,4634003,0,0,0,0,0,
MUS,5266895,4395350,6490150,4806316,7099877,5899410,4505861,
MYS,0,0,0,0,0,0,0,
NAG,0,0,0,0,0,0,0,
NAL,0,0,0,0,0,0,0,
NAN,246024,69022,4109,0,4719,4287,0,
NAS,0,0,0,0,0,0,0,
NAV,177515,189165,250916,0,0,265579,0,
NBG,731434,763048,0,0,0,0,0,
NEH,0,0,0,0,0,0,0,
NEJ,159706,157159,0,0,0,0,0,
NEN,0,0,0,0,0,0,0,
NEP,205418,207482,208215,185934,201832,208723,183808,
NET,0,0,0,0,0,0,0,
NEW,0,0,0,0,0,0,0,
NFL,86854,97574,0,0,0,0,0,
NGF,0,0,0,0,0,0,0,
NGR,0,0,0,0,0,0,0,
NIC,0,0,0,0,0,0,0,
NIG,0,0,0,0,0,0,0,
NMB,0,0,0,0,0,0,0,
NOG,40571,38462,37272,0,0,36690,0,
NOR,0,0,0,0,0,0,0,
NOV,109830,110368,110016,127253,108924,106592,112023,
NRI,575565,103092,99131,0,0,99228,0,
NUN,0,0,0,0,0,0,0,
NUS,0,0,0,0,0,0,0,
NYE,0,0,0,0,0,0,0,
NZL,0,0,0,0,0,0,0,
OCC,0,0,0,0,0,0,0,
OCE,0,0,0,0,0,0,0,
OLD,0,0,0,0,0,0,0,
OMA,30677,29569,27818,29518,28912,27755,29711,
ORA,0,0,0,0,0,0,0,
ORI,0,0,0,0,0,0,0,
ORO,0,0,0,0,0,0,0,
OYO,950623,0,0,0,0,0,0,
PAK,0,0,0,0,0,0,0,
PAP,470971,0,0,0,0,0,0,
PAR,0,0,0,0,0,0,0,
PAT,0,0,0,0,0,0,0,
PBC,0,0,0,0,0,0,0,
PER,0,0,0,0,0,0,0,
PEU,0,0,0,0,0,0,0,
PGG,0,0,0,0,0,0,0,
PHG,0,0,0,0,0,0,0,
PHL,0,0,0,0,0,0,0,
PLA,843825,1501088,0,0,0,0,0,
PLC,2600815,2722961,2711354,11212902,8220120,3616132,9675403,
PLM,359392,361285,366067,0,0,368714,0,
PLS,0,0,0,0,0,0,0,
PML,0,0,0,0,0,0,0,
PNB,0,0,0,0,0,0,0,
PNJ,0,0,0,0,0,1727127,0,
PNM,0,0,0,0,0,0,0,
PNT,0,0,0,0,0,0,0,
POL,0,0,0,0,0,0,0,
POM,0,0,0,0,0,0,0,
POR,0,0,0,0,0,0,0,
PPG,0,0,0,0,0,0,0,
PPU,0,0,0,0,0,0,0,
PRG,0,0,0,0,0,0,0,
PRI,0,0,0,0,0,0,0,
PRK,0,0,0,0,0,0,0,
PRU,239154,220451,0,0,0,0,0,
PRV,0,0,0,0,0,0,0,
PSV,234253,258137,0,0,0,0,0,
PTG,0,0,0,0,0,0,0,
PUR,0,0,0,0,0,0,0,
PZN,0,0,0,0,0,0,0,
QAJ,831851,989042,1021549,684769,840734,1039024,1012115,
QAT,0,0,0,0,0,0,0,
QNG,0,0,0,0,0,0,0,
QUE,0,0,0,0,0,0,0,
QUI,0,0,0,0,0,0,0,
RAJ,0,0,0,0,0,0,0,
RAP,553,350,173,0,0,0,0,
RDL,0,0,0,0,0,0,0,
REB,0,0,0,0,0,0,0,
RGR,0,0,0,0,0,0,0,
RGS,0,0,0,0,0,0,0,
RHI,0,0,0,0,0,0,0,
RHO,0,0,0,0,0,0,0,
RMG,0,0,0,0,0,0,0,
ROM,0,0,0,0,0,0,0,
RPL,0,0,0,0,0,0,0,
RUS,0,0,0,0,0,0,0,
RUT,0,0,0,0,0,0,0,
RWA,123808,122949,108743,0,0,108367,0,
RYU,0,0,0,0,0,0,0,
SAF,0,0,0,0,0,0,0,
SAK,0,0,0,0,0,0,0,
SAL,0,0,0,0,0,0,0,
SAN,0,0,0,0,0,0,0,
SAR,118241,0,0,0,0,0,0,
SAT,0,0,0,0,0,0,0,
SAX,0,0,0,0,0,0,0,
SBA,0,0,0,0,0,0,0,
SCA,2752803,2507792,2643331,5020483,3478596,3629393,4283357,
SCH,0,0,0,0,0,0,0,
SCO,0,0,0,0,0,0,0,
SEG,0,0,0,0,0,0,0,
SEN,0,0,0,0,0,0,0,
SER,0,0,0,0,0,0,0,
SFJ,0,0,0,0,0,0,0,
SGF,3590304,3774853,3607547,0,0,4074589,0,
